team,matchday,actual.points,salt.points,abs.diff
ATA,10,12,10.1083333333333,1.89166666666666
BOL,13,11,8.96154761904762,2.03845238095238
CAG,17,17,19.0602380952381,2.0602380952381
CHI,6,2,4.7,2.7
EMP,18,16,12.6798301698302,3.32016983016983
FIO,13,18,15.8453571428571,2.15464285714285
FRO,11,6,1.24333333333334,4.75666666666666
GEN,8,12,8.63333333333333,3.36666666666667
INT,11,25,27.9183333333333,2.91833333333333
JUV,3,9,6.1,2.9
LAZ,13,23,25.4777380952381,2.47773809523809
MIL,15,26,28.7026785714286,2.70267857142857
NAP,26,56,60.1500786279424,4.15007862794241
PAR,10,13,8.95000000000001,4.04999999999999
ROM,8,14,12.2,1.8
SAM,11,15,17.9175,2.9175
SAS,9,14,17.65,3.65
SPA,9,12,16.3,4.3
TOR,21,30,32.6397202797203,2.63972027972027
UDI,15,13,14.8705357142857,1.87053571428573
